zone,date,PM2.5,PM10,NO2,SO2,CO,O3,temp,humidity,wind_speed,AQI,AQI_category,dominant_pollutant
Dwarka,2026-06-22,22.5,274.5,29.1,16.7,0.89,37.22,33.3,48.4,0.8,224.0,Poor,PM10
Dwarka,2026-06-23,64.0,203.7,41.2,32.1,0.89,36.58,32.9,53.2,0.5,169.0,Moderate,PM10
Dwarka,2026-06-24,27.6,142.5,37.7,16.3,1.15,37.06,33.0,59.0,0.6,129.0,Moderate,PM10
Dwarka,2026-06-25,36.4,230.1,43.0,23.4,1.07,46.74,35.8,47.9,0.5,500.0,Severe,CO
Dwarka,2026-06-26,23.2,125.2,22.9,16.8,0.76,22.8,33.3,55.8,0.7,117.0,Moderate,PM10
Dwarka,2026-06-27,46.5,195.4,31.0,11.7,1.49,44.2,35.6,50.5,0.5,164.0,Moderate,PM10
Dwarka,2026-06-28,39.0,197.0,25.3,16.4,0.92,49.83,35.9,47.6,0.6,165.0,Moderate,PM10
Dwarka,2026-06-29,36.8,218.7,21.8,9.9,0.94,30.81,35.8,48.5,0.8,179.0,Moderate,PM10
Dwarka,2026-06-30,31.9,256.1,21.8,17.6,0.58,23.81,35.3,50.3,0.9,206.0,Poor,PM10
Dwarka,2026-07-01,26.8,140.4,19.8,10.4,0.75,24.96,32.8,64.3,1.1,127.0,Moderate,PM10
Dwarka,2026-07-02,28.3,112.5,22.7,13.7,1.04,38.3,31.4,70.7,0.6,500.0,Severe,CO
Dwarka,2026-07-03,32.3,146.3,22.3,14.1,1.18,28.12,33.0,67.6,0.8,131.0,Moderate,PM10
Dwarka,2026-07-04,52.9,199.1,31.8,14.2,1.59,21.56,32.8,70.8,0.6,166.0,Moderate,PM10
Dwarka,2026-07-05,50.9,145.1,31.8,12.5,1.92,9.64,31.6,77.2,0.5,130.0,Moderate,PM10
Dwarka,2026-07-06,44.7,168.1,24.7,19.1,1.25,27.81,34.0,65.5,0.6,146.0,Moderate,PM10
Dwarka,2026-07-07,25.9,156.1,29.3,6.0,1.35,17.69,31.7,76.5,0.6,138.0,Moderate,PM10
Dwarka,2026-07-08,22.6,41.6,19.1,9.3,0.94,9.31,30.0,84.1,0.6,47.0,Good,CO
Dwarka,2026-07-09,13.5,43.2,10.1,13.2,0.88,20.8,30.0,82.2,0.6,44.0,Good,CO
Dwarka,2026-07-10,15.4,80.4,12.1,7.4,1.03,30.6,31.9,73.0,0.6,500.0,Severe,CO
Dwarka,2026-07-11,33.1,327.6,17.6,2.3,0.99,19.5,32.8,67.7,0.7,278.0,Poor,PM10
Dwarka,2026-07-12,44.6,384.4,15.8,9.8,0.88,17.71,33.8,63.5,0.7,343.0,Very Poor,PM10
Dwarka,2026-07-13,29.5,216.0,21.8,11.1,0.84,23.16,34.2,58.7,0.8,177.0,Moderate,PM10
Dwarka,2026-07-14,28.9,241.6,27.9,14.4,1.48,24.75,33.8,61.2,0.8,194.0,Moderate,PM10
Dwarka,2026-07-15,27.0,191.8,29.1,,,,34.0,60.8,0.7,161.0,Moderate,PM10
Dwarka,2026-07-16,34.9,249.0,35.4,,1.37,12.92,34.6,56.5,0.6,199.0,Moderate,PM10
Dwarka,2026-07-17,45.2,278.6,49.1,5.8,1.87,19.12,35.1,53.0,0.5,229.0,Poor,PM10
Dwarka,2026-07-18,37.1,261.8,35.9,6.1,2.09,20.6,34.4,56.4,0.7,500.0,Severe,CO
Dwarka,2026-07-19,40.2,230.2,37.2,9.9,0.95,23.84,34.4,58.1,0.6,187.0,Moderate,PM10
Dwarka,2026-07-20,34.2,169.8,34.3,8.7,1.25,12.41,31.7,76.1,1.1,147.0,Moderate,PM10
Dwarka,2026-07-21,21.0,79.0,43.0,7.9,1.1,7.0,29.6,86.1,0.8,79.0,Satisfactory,PM10
Jahangirpuri,2026-06-06,82.3,279.6,43.9,9.5,1.73,26.0,34.9,50.1,0.6,230.0,Poor,PM10
Jahangirpuri,2026-06-07,39.7,252.1,34.0,9.3,1.15,28.0,36.4,43.7,0.7,202.0,Poor,PM10
Jahangirpuri,2026-06-08,32.3,192.2,25.5,10.5,0.2,26.79,35.1,47.4,1.1,162.0,Moderate,PM10
Jahangirpuri,2026-06-09,37.2,362.7,26.8,9.0,0.88,46.1,38.2,37.0,1.6,316.0,Very Poor,PM10
Jahangirpuri,2026-06-10,51.5,264.8,35.7,6.8,1.69,26.66,36.6,43.2,1.0,215.0,Poor,PM10
Jahangirpuri,2026-06-11,39.3,161.4,31.6,9.5,1.06,24.47,34.6,50.5,1.5,500.0,Severe,CO
Jahangirpuri,2026-06-12,33.7,73.8,29.7,9.0,1.19,18.5,31.1,67.0,1.8,74.0,Satisfactory,PM10
Jahangirpuri,2026-06-13,45.9,157.4,41.0,9.1,1.59,49.64,31.6,63.3,0.8,138.0,Moderate,PM10
Jahangirpuri,2026-06-14,92.6,245.4,47.9,12.6,9.46,34.5,33.9,54.3,0.7,206.0,Poor,PM2.5
Jahangirpuri,2026-06-15,35.7,186.0,34.9,7.7,11.44,24.36,32.6,50.3,1.3,220.0,Poor,CO
Jahangirpuri,2026-06-16,51.1,151.4,49.3,8.6,1.6,16.22,30.9,59.7,1.0,134.0,Moderate,PM10
Jahangirpuri,2026-06-17,48.7,136.6,42.8,10.9,1.7,43.67,33.3,52.3,0.7,125.0,Moderate,PM10
Jahangirpuri,2026-06-18,70.0,215.0,38.2,13.9,1.71,26.82,34.5,50.6,1.0,177.0,Moderate,PM10
Jahangirpuri,2026-06-19,52.9,205.9,37.3,11.4,0.48,33.49,34.1,50.2,1.2,171.0,Moderate,PM10
Jahangirpuri,2026-06-20,63.9,194.5,43.2,15.3,2.9,28.88,35.0,48.6,1.1,163.0,Moderate,PM10
Jahangirpuri,2026-06-21,59.6,170.9,35.4,11.1,3.19,21.04,34.0,51.1,1.2,147.0,Moderate,PM10
Jahangirpuri,2026-06-22,48.3,341.0,42.0,8.5,1.99,29.89,33.8,47.5,1.2,291.0,Poor,PM10
Jahangirpuri,2026-06-23,72.8,254.5,59.2,18.7,0.0,35.8,33.9,48.5,1.2,204.0,Poor,PM10
Jahangirpuri,2026-06-24,42.0,140.5,36.9,10.7,2.0,37.42,34.4,51.7,1.1,127.0,Moderate,PM10
Jahangirpuri,2026-06-25,61.3,145.5,62.5,14.8,2.19,35.78,33.5,62.1,0.4,131.0,Moderate,PM10
Jahangirpuri,2026-06-26,44.2,133.0,28.2,9.3,1.35,24.65,36.1,49.2,1.2,122.0,Moderate,PM10
Jahangirpuri,2026-06-27,77.3,171.2,34.0,9.3,1.42,32.09,35.6,52.7,1.0,157.0,Moderate,PM2.5
Jahangirpuri,2026-06-28,70.3,171.7,41.1,8.1,1.53,30.77,36.0,50.1,0.8,148.0,Moderate,PM10
Jahangirpuri,2026-06-29,60.0,185.5,34.2,7.4,1.38,20.4,36.3,49.0,1.0,157.0,Moderate,PM10
Jahangirpuri,2026-06-30,55.3,202.9,31.0,5.1,1.03,12.82,35.2,52.2,1.1,500.0,Severe,CO
Jahangirpuri,2026-07-01,59.2,117.8,33.4,3.4,1.27,15.67,32.3,69.1,1.1,112.0,Moderate,PM10
Jahangirpuri,2026-07-02,61.0,93.0,24.4,2.8,1.3,13.49,31.3,72.4,0.8,101.0,Moderate,PM2.5
Jahangirpuri,2026-07-03,64.9,116.8,29.3,2.2,1.43,13.41,33.3,67.6,0.8,114.0,Moderate,PM2.5
Jahangirpuri,2026-07-04,91.5,131.8,35.3,5.5,2.23,64.24,32.6,74.7,0.6,203.0,Poor,PM2.5
Jahangirpuri,2026-07-05,139.3,166.9,47.2,8.1,1.85,58.27,30.7,85.0,0.4,315.0,Very Poor,PM2.5
Jahangirpuri,2026-07-06,77.5,161.2,31.8,8.3,1.81,15.6,33.4,71.0,0.7,157.0,Moderate,PM2.5
Jahangirpuri,2026-07-07,81.6,144.2,30.1,8.7,1.59,19.58,31.2,82.1,0.8,171.0,Moderate,PM2.5
Jahangirpuri,2026-07-08,45.0,78.6,20.8,7.0,1.53,10.89,29.7,88.8,0.8,79.0,Satisfactory,PM10
Jahangirpuri,2026-07-09,42.4,103.6,14.9,5.2,1.04,10.62,29.4,89.1,1.4,500.0,Severe,CO
Jahangirpuri,2026-07-10,57.5,151.0,20.2,7.9,1.01,11.0,31.7,76.4,1.1,500.0,Severe,CO
Jahangirpuri,2026-07-11,83.0,362.1,24.7,13.7,1.39,10.69,32.8,71.1,0.8,315.0,Very Poor,PM10
Jahangirpuri,2026-07-12,97.8,515.5,24.9,13.5,1.26,12.15,33.9,64.5,1.1,450.0,Severe,PM10
